Name,Latitude,Longitude
Andalucía,37.46327437898015,-4.5756251360950975
Aragón,41.51953554934878,-0.6598464119757933
Canarias,28.339798593020518,-15.67209841723394
Cantabria,43.197519536640314,-4.030012131825223
Castilla - La Mancha,39.580989632776394,-3.0046277720850294
Castilla y León,41.75439621267431,-4.78188694026084
Cataluña,41.79855378343628,1.529053485438182
Ceuta,35.89340698628931,-5.343424038905595
Comunidad Foral de Navarra,42.6672011467574,-1.646111768804728
Comunidad Valenciana,39.401558459767394,-0.554726732458959
Comunidad de Madrid,40.4950829630151,-3.7170400661702585
Extremadura,39.19149925374406,-6.150826930435468
Galicia,42.756796629797975,-7.910563440663745
Islas Baleares,39.57518898643368,2.912291720786389
La Rioja,42.27487336083145,-2.5170398398629428
Melilla,35.29082799487511,-2.950535523367993
País Vasco,43.043363059855224,-2.6168179214884315
Principado de Asturias,43.29235786104919,-5.993509325467155
Región de Murcia,38.002367913251305,-1.4857585753066431
